Code,Name,Parent,Full name if different,Subject must be,Definition,Synonym
par-f,Person features,,,,Features of a person which are not a role but express a characteristic of relevance for some purposes,
par-f-1,Commercial features,par-f,,,,
par-f-1.1,Business,par-f-1,,Organisation or Individual,"An organisation engaged in business, profitably or not. Typically this will be with an aim to profit eventually, though in some cases this may not be (e.g. subsidised state-owned enterprises).",
par-f-1.1.1,Listed company,par-f-1.1,,Corporate body,A corporate body listed or quoted on a recognised exchange,ListCo
par-f-1.1.2,Franchise,par-f-1.1,,Organisation or Individual,"A person (often a corporate body) whose business activity is entirely or mostly based on using intellectual property and business methods licensed from another person, often a corporate body.",Franchisee
par-f-1.1.3,ABS,par-f-1.1,Alternative business structure,Organisation,England and Wales regulatory category for certain legal services businesses. See Part 5 of the Legal Services Act 2007.,
par-f-1.2,NFP,par-f-1,Not for profit,Organisation,"General term for a corporate body, association or sometimes a project which is conducted other than with a view to profit. There are many more specific types with definitions under particularl legal systems e.g. charities, NPOs (US non-profit organization).",
par-f-1.3,Public enterprise,par-f-1,,Organisation,"A business or other body which is separate from an authority, but in some sense owned or controlled by an authority, even if it has some operational independence. The precise scope of this category varies significantly across legal systems, given differing theories and practical arrangements governing the relationship between the state and commercially-operating entities. The concept is intended as a practically useful working term rather than a technically precise legal category.","State owned enterprise, SOE, quango"
par-f-1.4,SPV,par-f-1,Special purpose vehicle,Corporate body,A corporate body used to isolate a risk arising in the context of a particular asset or activity,
par-f-2,Organisation size features,par-f,,,,
par-f-2.1,SME,par-f-2,Small or medium-sized enterprise (EU definition),Organisation or Individual,(i) < 250 staff and (ii) turnover ⩽ €50M and (iii) balance sheet ⩽ €43M. See EU law definition.,
par-f-2.1.1,Micro enterprise,par-f-2.1,Micro enterprise (EU definition),Organisation or Individual,"Sub-type of small enterprise, with (i) <10 staff and (ii) turnover ⩽ €2M and (iii) balance sheet ⩽ €2M",
par-f-2.1.2,Small enterprise,par-f-2.1,,Organisation,"Sub-type of SME, with (i) <50 staff and (ii) turnover ⩽ €10M and (iii) balance sheet ⩽ €10M",
par-f-2.1.3,Medium enterprise,par-f-2.1,Medium enterprise (EU definition),Organisation,"Sub-type of SME, with any one or more of: (i) >50 staff or (ii) turnover > €10M or (iii) balance sheet > €10M",
par-f-2.2,Large enterprise,par-f-2,,Organisation,An enterprise which is larger than a medium enterprise,
par-f-2.3,SMB,par-f-3,Small or medium-sized business (US definition),Organisation or Individual,"For most organisations and use cases, it is likely to be desirable to choose only one definition of SMB or SME so as to promote consistency of data. Handling multiple definitions will increase complication, so the benefit should be considered very carefully before doing so. For the same reason, subtypes (e.g. medium, small, micro) should be used from within the same SME or SMB parent type.",
par-f-3,Common interest features,par-f,,,,
par-f-3.1,Industry Body,par-f-3,Industry Body,Organisation,"An organisation for businesses in a particular industry with the aim of maintaining and improving issues of interest to those businesses and particular sub-groups. Such organisations often engage in advocacy and lobbying functions, and may be involved in standard-setting. There is significant variance between countries and professions. They may or may not have statutory backing. They may be local or international. Some associations' activities are defined more by issues affecting more than one industry (e.g. IP infringement) rather than by industry as such. They have varying levels of state affiliation.","Trade Association, Trade Federation, Trade Group, Trade Federation, Business Association "
par-f-3.2,Professional Body,par-f-3,,Organisation,"An organisation for professionals of a particular type (e.g. lawyers, doctors, accountants) with the aim of maintaining and improving issues of interest to those professionals and particular sub-groups. Such organisations often also have a role in issues of broader public interest and exercise advocacy, lobbying, professional standards, licensing, regulatory and disciplinary functions. There is significant variance between countries and professions. They may or may not have statutory backing. They are typically national or subnational but there are some looser international bodies as well, often focused on networking, knowledge-sharing and sometimes standard setting and coordination of international advocacy efforts.","Professional Association, Professional Organization, Professional Society, Learned Society, Regulatory College"
par-f-3.3,Trade union,par-f-3,,Organisation,An organisation for employees in particular industries or roles with the aim of maintaining and improving members' terms and conditions of employment. Some unions undertake further activities in support of their members' welfare.,"Union, Labour Union, Labor Union, Guild, Trade Guild"
par-f-4,Individual features,par-f,,,,
par-f-4.1,HNWI,par-f-4,High net worth individual,Individual,No universal legal definition but commonly understood to be someone with financial assets (excluding their primary residence) in excess of US$1 million. See Wikipedia article.,HNW
par-f-4.1.1,UHNWI,par-f-4.1,Ultra high net worth individual,Individual,"As with HNWI, no universal legal definition but suggested as defined by financial assets over US$30 million.",UHNW
par-f-4.2,PEP,par-f-4,Politically exposed person,Individual,An individual entrusted with a prominent public function. See FATF guidance.,
par-f-4.3,Sole trader,par-f-4,,Individual,An individual who enters into commercial transactions as an individual rather than using a corporate or unincorporated body. The individual may use their regular name or a trading name.,"Sole practitioner, solo practitioner"
