Code,Role,Parent,Subject must be,Work type,Area of law,Definition,Synonym 1,Syn 1 associated with,Synonym 2,Syn 2 associated with,Synonym 3,Syn 3 associated with
role-,Role,,,,,A role which a person has in relation to another person or process,,,,,,
role-dev,Development party,role-,,,,,,,,,,
role-dev-1,Owner,role-dev,Person,Development,,The party who owns and commissions the development project.,,,,,,
role-dev-2,Developer,role-dev,Person,Development,,The party who carries out or manages the development.,,,,,,
role-dev-3,Authority,role-dev,Person,Development,,A regulatory or planning authority with power to approve or restrict the development.,,,,,,
role-dev-4,Administrator,role-dev,Individual,Development,,"A professional (such as an architect, engineer or project manager) appointed to design, supervise or administer the works on behalf of the owner.",Employer's agent,,Contract administrator,NEC / JCT,,
role-dev-5,Sub-contractor,role-dev,Person,Development,,A party engaged by the contractor to carry out a defined portion of the works.,,,,,,
role-dsp,Dispute resolution party,role-,,,,,,,,,,
role-dsp-1,Claimant,role-dsp,Person,Dispute resolution,,"Someone who initiated an arbitration, litigation or other civil claim.",Plaintiff,United States litigation,Pursuer,Scottish litigation,,
role-dsp-2,Defendant,role-dsp,Person,Dispute resolution,,"Someone responding to an arbitration, litigation or other civil claim brought against them.",Respondent (arbitration),Arbitration,Defender,Scottish litigation,,
role-dsp-3,Counterclaimant,role-dsp,Person,Dispute resolution,,A Defendant who is bringing a claim against a Claimant in the same case.,Counter-claimant,,Cross-claimant,,,
role-dsp-4,Appellant,role-dsp,Person,"Dispute resolution, Prosecution",,A person bringing an appeal against another decision.,,,,,,
role-dsp-5,Respondent (appeal),role-dsp,Person,"Dispute resolution, Prosecution",,A person responding to an appeal. '(appeal)' distinguishes from the defending role in first instance proceedings.,Appellee,United States,,,,
role-dsp-6,Other party to dispute,role-dsp,Person,Dispute resolution,,"A person who is a formal party to dispute resolution proceedings in a capacity other than claimant, defendant, counterclaimant, appellant or respondent",,,,,,
role-dsp-7,Judge,role-dsp,Individual,"Dispute resolution, Prosecution",,A neutral person appointed to determine a dispute in litigation or tribunal proceedings.,Tribunal member,,,,,
role-dsp-8,Arbitrator,role-dsp,Individual,Dispute resolution,,"A neutral person appointed to determine a dispute through arbitration, whose decision (made alone or with other arbitrators) is binding on the parties in dispute.",,,,,,
role-dsp-9,Mediator,role-dsp,Individual,Dispute resolution,,"A neutral person who facilitates negotiation between parties to help them reach a voluntary settlement.
",,,,,,
role-dsp-10,Adjudicator,role-dsp,Individual,Determinative resolution,,"A neutral person with power to impose a binding, or provisionally binding, determination, typically in construction or other contractual contexts.",,,,,,
role-dsp-11,Funder,role-dsp,Person,Dispute resolution,,A third party who funds a dispute resolution process in return for a share of any recovery or some other return.,,,,,,
role-dsp-12,Watching brief,role-dsp,Person,"Dispute resolution, Prosecution",,"A third party or their representative, who monitors proceedings without being a formal party.",,,,,,
role-enb,Enablement party,role-,,,,,,,,,,
role-enb-1,Function,role-enb,Person,Enablement ,,The internal function or business unit being supported by the legal work.,,,,,,
role-enb-2,Supplier / Third party,role-enb,Person,Enablement,,"An external party supplying goods, services or other resources to the organisation, whose relationship with the organisation is the subject of the legal work.",Vendor,,Service provider,,,
role-enb-3,Competent authority,role-enb,Person,Enablement,,"A public authority, court or regulator with power to require the organisation to produce, preserve or surrender information, documents or assets.",,,,,,
role-fin,Finance party,role-,,,,,,,,,,
role-fin-1,Lender,role-fin,Person,Finance,Financial law,A special type of creditor who has lent money to a borrower.,Creditor,Disputes,Mortgagee,,,
role-fin-2,Borrower,role-fin,Person,Finance,Financial law,A special type of debtor to whom a creditor has lent money.,Debtor,Disputes,Mortgagor,,,
role-fin-3,Surety,role-fin,Person,Finance,Financial law,A person who guarantees the obligations of another.,Guarantor,England and Wales,,,,
role-fin-4,Company,role-fin,Person,Finance,Financial law,The issuing or obligor company in a finance transaction: the entity raising capital or incurring the financial obligation.,,,,,,
role-fin-5,Adviser / Dealer,role-fin,Person,Finance,Financial law,A party providing financial advice or dealing in financial instruments.,,,,,,
role-fin-6,Trustee / Agent,role-fin,Person,Finance,Financial law,A party holding rights or acting on behalf of others in a finance transaction - often the security trustee or facility agent in a syndicated loan.,,,,,,
role-fin-7,Investor,role-fin,Person,Finance,Financial law,A party providing capital to a company or buying a financial instrument with an expectation of a financial return.,,,,,,
role-grc,GRC and policy party,role-,,,,,,,,,,
role-grc-1,Public authority,role-grc,Person,GRC and policy,,"A regulatory, governmental or other authority with oversight or approval powers.",,,,,,
role-grc-2,Regulated entity,role-grc,Person,GRC and policy,,"A person or organisation subject to a regulatory regime, compliance obligation or governance framework that is the subject of the legal work.",Regulated firm,,Authorised person,Financial services,,
role-grc-3,Policy respondent,role-grc,Person,GRC and policy,,"An organisation participating in a legislative, regulatory or public policy process, including by responding to consultations, lobbying or engaging with government bodies.",,,,,,
role-ivp,Investigative process party,role-,,,,,,,,,,
role-ivp-1,Investigator / Authority,role-ivp,Person,Investigative process,,"The authority or body conducting the investigation, inquiry or prosecution.",,,,,,
role-ivp-2,Investigated person,role-ivp,Person,Investigative process,,The person or organisation subject to investigation or prosecution.,,,,,,
role-rsl,Dissolution and restructuring party,role-,,,,,,,,,,
role-rsl-1,Company (solvent),role-rsl,Person,Dissolution and restructuring,Insolvency and restructuring law,"A solvent company undergoing a reorganisation - for example,  a solvent liquidation, a group restructuring or a scheme of arrangement.",,,,,,
role-rsl-2,Insolvent party,role-rsl,Person,Dissolution and restructuring,Insolvency and restructuring law,The individual or entity subject to insolvency proceedings.,Bankrupt,,Insolvent,,,
role-rsl-3,Creditor,role-rsl,Person,Dissolution and restructuring,Insolvency and restructuring law,"A person to whom the insolvent party owes a debt, who has a claim in the insolvency proceedings.",,,,,,
role-rsl-4,Insolvency officer,role-rsl,Person,Dissolution and restructuring,Insolvency and restructuring law,A person appointed to administer insolvency or restructuring proceedings.,Administrator (insolvency),,Liquidator,,,
role-tra,Transaction party,role-,,,,,,,,,,
role-tra-1,Buyer,role-tra,Person,Transaction,"Intellectual property law, Land law, Personal property law",The party acquiring property or an interest in a transaction.,Purchaser,,Transferor,,Acquiror,United States
role-tra-2,Seller,role-tra,Person,Transaction,"Intellectual property law, Land law, Personal property law",The party disposing of property or an interest in a transaction.,Vendor,,Transferee,,,
role-tra-3,Owner / Licensor,role-tra,Person,Transaction,"Intellectual property law, Land law, Personal property law","The party granting a right to use or occupy property - includes landlords, landlords, licensors and sublessors.",Landlord,,Licensor,,Lessor,
role-tra-4,Lessee / Licensee / Charterer,role-tra,Person,Transaction,"Intellectual property law, Land law, Personal property law",The party receiving the right to use or occupy property - includes sublessees.,Tenant,,Licensee,,Lessee,
role-tra-6,Agent / Broker,role-tra,Person,Transaction,,"A person acting on behalf of a party in a transaction, with authority to negotiate, introduce or conclude arrangements on that party's behalf.",Commercial agent,,Broker,,,
role-tra-6,Contractual party,role-tra,Person,Transaction,,"A party to a contract where no more specific transaction role applies.
",,,,,,
role-cor,Corporate party,,,,,,,,,,,
role-cor-1,Shareholder / Member,role-cor,Person,,Corporate law,A person holding an equity interest or membership in a corporate entity.,Stockholder,United States,Member,Companies limited by guarantee,,
role-cor-2,Director,role-cor,Individual,,Corporate law,"A member of the board of a company or equivalent governing body, owing fiduciary duties to the company.",Board member,,Officer,Some jurisdictions,,
role-cor-3,Company / Entity,role-cor,Person,,Corporate law,"The corporate entity as a distinct legal person in proceedings or matters where it is itself a party, separate from its shareholders or directors.",,,,,,
role-emp,Employment party,role-,,,,,,,,,,
role-emp-1,Employer,role-emp,Person,,Labour law,A person or organisation that employs one or more individuals under a contract of employment.,,,,,,
role-emp-2,Employee,role-emp,Person,,Labour law,"An individual employed under a contract of employment, with the full range of employment rights.",,,,,,
role-emp-3,Trade union,role-emp,Person,,Labour law,An organisation representing the collective interests of workers in employment and labour matters.,Labor union,United States,,,,
role-emp-4,Worker,role-emp,Individual,,Labour law,"An individual providing personal service under an arrangement that falls between employment and independent contracting, recognised as a distinct legal status in many jurisdictions.",Dependent contractor,Canada,Limb (b) worker,England and Wales,,
role-fam,Family party,,,,,,,,,,,
role-fam-1,Spouse,role-fam,Individual,,Family law,"A party to a marriage or civil partnership who is the subject of family proceedings, including divorce, dissolution or financial remedy applications.",Petitioner,,Applicant,Children / financial remedy proceedings,,
role-fam-2,Parent,role-fam,Individual,,Family law,A person with parental responsibility or parental rights who is a party to family proceedings concerning a child.,,,,,,
role-fam-3,Child,role-fam,Individual,,Family law,"A person who is the subject of family proceedings concerning their welfare, upbringing or contact arrangements, and who may or may not be a formal party.",Minor,,,,,
role-fam-4,Guardian / Representative,role-fam,Individual,,Family law,A person appointed to represent the interests of a child or other vulnerable party in proceedings.,Guardian ad litem,,CAFCASS officer,England and Wales,Litigation friend,
role-ins,Insurance party,,,,,,,,,,,
role-ins-1,Insurer,role-ins,Person,,Insurance law,The party underwriting an insurance risk and undertaking to pay claims in accordance with the policy terms.,Underwriter,,Assurer,,,
role-ins-2,Insured / Policyholder,role-ins,Person,,Insurance law,"The party or parties covered by an insurance policy. The insured bears the insured risk; the policyholder is the contracting party, who may or may not be the same person. ",,,,,,
role-ins-3,Broker / Intermediary,role-ins,Person,,Insurance law,"A party who arranges insurance on behalf of another, owing duties to the insured and subject to regulatory obligations as an intermediary.",Insurance broker,,Coverholder,Delegated underwriting authority,,
role-ins-4,Reinsurer,role-ins,Person,,Insurance law,"An insurer who accepts risk ceded to it by another insurer, providing capacity and spreading risk through the reinsurance market.",Cedant,,,,,
role-ins-5,Loss adjuster,role-ins,Individual,,Insurance law,"A professional appointed (usually by the insurer) to investigate, quantify and report on an insured loss.",Claims adjuster,,,,,
role-paf,Personal affairs party,role-,,,,,,,,,,
role-paf-1,Settlor,role-paf,Person,Transaction,Personal affairs,The person who establishes a trust by transferring assets to the trustee on the terms of the trust instrument.,,,,,,
role-paf-2,Trustee,role-paf,Person,Transaction,Personal affairs,The person who holds the trust assets and administers them for the benefit of the beneficiaries in accordance with the trust instrument.,,,,,,
role-paf-3,Beneficiary (trust),role-paf,Person,Transaction,Personal affairs,The person entitled to benefit from the assets held on trust.,Cestui que trust,England and Wales,,,,
role-paf-4,Testator,role-paf,Individual,Restructuring and liquidation,Personal affairs,An individual who has made or is making a will.,Testatrix,"Historically, female testator",,,,
role-paf-5,Personal representative,role-paf,Individual,Restructuring and liquidation,Personal affairs,"A person with legal authority to administer the estate of a deceased individual, whether appointed by will or by a court.",Executor,Appointed by will,Administrator (estate),Appointed by court on intestacy,,
role-paf-6,Beneficiary (estate),role-paf,Person,Restructuring and liquidation,Personal affairs,"A person entitled to receive assets from the estate of a deceased individual, whether under a will or on intestacy. Distinct from a trust beneficiary.",Legatee,,Devisee,,Heir,
