Code,noslegal name,Parent,Synonym,noslegal short notes,NACE section / division,NACE name,
sec,Sector,,,"Sectors, industries and subdivisions selected as relevant to legal work ",,,
sec-agr,Agriculture,sec,"Farming, Forestry and Fishing",,A,"Agriculture, Forestry and Fishing",
sec-agr-1,Farming,sec-agr,,,01.1–01.6,"Crop and animal production, hunting and related service activities",
sec-agr-2,Forestry,sec-agr,,,02,Forestry and logging,
sec-agr-3,Fishing,sec-agr,,,03.1,Fishing,
sec-nar,Natural resources,sec,Extractive Industries,,B,Mining and Quarrying,
sec-nar-1,Mining,sec-nar,,Includes quarrying,"05,07,08,09",Mining of coal and lignite; Mining of metal ores; Other mining and quarrying; Mining support service activities,
sec-nar-2,Upstream oil and gas,sec-nar,,"Covers only production, not distribution, processing or sale",06,Extraction of crude petroleum and natural gas,
sec-mfg,Manufacturing,sec,,"Covers only production, not design, distribution or sale. Only selected aspects widely seen in law firm taxonomies have been broken out as noslegal core elements. Other elements from NACE are contained in XP1.",C,Manufacturing,
sec-mfg-1,Food and drink,sec-mfg,Food processing and drinks industry,Includes human and animal food manufacture and processing. Includes production of soft and alcoholic drinks.,"10,11",Manufacture of food products; manufacture of beverages,
sec-mfg-2,Textiles (ex fashion),sec-mfg,,"Includes basic textiles, carpets, fashion, bags and footwear","13,14",Manufacture of textiles; manufacture of wearing apparel,
sec-mfg-3,Fashion,sec-mfg,,"Non-NACE addition. Fashion is not a separate NACE division; it spans parts of Textiles (13, 14) and Retail (47).",n/a,Non-NACE addition,
sec-mfg-4,Chemicals,sec-mfg,,"Includes petrochemicals and other chemicals. But excludes medicinal chemicals, which are included in pharmaceuticals","19,20",Manufacture of coke and refined petrochemical products; Manufacture of chemicals and chemical products,
sec-mfg-5,Pharmaceuticals,sec-mfg,,,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,
sec-mfg-6,Electronics,sec-mfg,,"Includes chips and computers, excludes IoT products which fall into more traditional categories","26,27","Manufacture of computer, electronic and optical products; Manufacture of electrical equipment",
sec-mfg-7,Machinery,sec-mfg,,Residual category for machinery not elsewhere classified. Includes agricultural and industrial machinery. But excludes computers and vehicles,28,Manufacture of machinery and equipment n.e.c. (not elsewhere classified),
sec-mfg-8,Vehicles (ex automotive),sec-mfg,Transport equipment (ex automotive),"Includes cars, buses, trucks, trains, aircraft, watercraft and spacecraft. Includes both civil and military vehicles","29,30","Manufacture of motor vehicles, trailers and semi-trailers; Manufacture of other transport equipment",
sec-mfg-9,Automotive,sec-mfg,,"Includes cars, buses and trucks",29,"Manufacture of motor vehicles, trailers and semi-trailers",
sec-ens,Energy supply,sec,,"Includes supply of electricity, gas, steam and air conditioning",D,"Electricity, Gas, Steam and Air Conditioning Supply",
sec-ens-1,Electricity (non-renewable),sec-ens,,"Electricity production, transmission, distribution and trading",35.1,"Electric power generation, transmission and distribution",
sec-ens-2,Electricity (renewable),sec-ens,,Renewable electricity production,35.12,Production of electricity from renewable sources,
sec-ens-3,Gas,sec-ens,,"Includes synthetic gas production, and distribution and trading of natural and synthetic gas via mains. Excludes (1) production of natural gas (see Upstream oil and gas) (2) manufacture of petrochemicals (see Chemicals) (3) distribution and trading other than via mains (see Trade) (4) operation of gas pipelines (in Transport services).",35.2,Manufacture of gas; distribution of gaseous fuels through mains,
sec-wtw,Water and waste,sec,,"Includes water management and supply, sewerage and waste management",E,"Water Supply; Sewerage, Waste Management and Remediation Activities",
sec-wtw-1,Water,sec-wtw,,,36,"Water collection, treatment and supply",
