Code,noslegal name,Parent,Synonym,noslegal short notes,NACE division,,NACE name
sec-fsv-1.1,Life insurance,sec-fsv,,,65.11,65.11,Life insurance
sec-fsv-1.2,Non-life insurance,sec-fsv,,Includes general and specialist insurance,65.12,65.12,Non-life insurance
sec-fsv-1.3,Reinsurance,sec-fsv,,,65.2,65.2,Reinsurance
sec-fsv-3.1,Private equity,sec-fsv,,,,"64.30, 66.30","Trusts, funds and similar financial entities; Fund management activities"
sec-fsv-3.2,Venture capital,sec-fsv,,,,"64.30, 66.30","Trusts, funds and similar financial entities; Fund management activities"
sec-fsv-3.3,Hedge funds,sec-fsv,,,,"64.30, 66.30","Trusts, funds and similar financial entities; Fund management activities"
sec-fsv-3.4,Credit funds,sec-fsv,,,,"64.30, 66.30","Trusts, funds and similar financial entities; Fund management activities"
sec-fsv-3.5,Real estate funds,sec-fsv,,,,"64.30, 66.30","Trusts, funds and similar financial entities; Fund management activities"
sec-fsv-4.1,Business banking,sec-fsv,,,,64.19,Other monetary intermediation
sec-fsv-4.2,Retail banking,sec-fsv,,,,64.19,Other monetary intermediation
sec-fsv-4.3,Consumer credit,sec-fsv,,,,64.92,Other credit granting
sec-fsv-5.1,Capital markets,sec-fsv,,,,"66.11, 66.12",Administration of financial markets; Security and commodity contracts brokerage
sec-fsv-5.2,Commodity markets,sec-fsv,,,,66.12,Security and commodity contracts brokerage
sec-fsv-5.3,Money markets,sec-fsv,,,,66.11,Administration of financial markets
sec-fsv-5.4,Derivatives markets,sec-fsv,,Includes futures markets,,66.12,Security and commodity contracts brokerage
sec-fsv-5.5,Foreign exchange markets,sec-fsv,,,,66.12,Security and commodity contracts brokerage
sec-fsv-5.6,OTC markets,sec-fsv,,Markets for 'over-the-counter' bilateral trading in securities not listed on a recognised exchange,,66.19,"Other activities auxiliary to financial services, except insurance and pension funding n.e.c."
