Legal system code,Legal system name,Legal system subivision code,Leagl system subdivision name,Legal type,Hybrid legal type (1),Hybrid legal type (2)
CA,Canada,CA-AB,Alberta,Common,,
CA,Canada,CA-BC,British Columbia,Common,,
CA,Canada,CA-MB,Manitoba,Common,,
CA,Canada,CA-NB,New Brunswick,Common,,
CA,Canada,CA-NL,Newfoundland and Labrador,Common,,
CA,Canada,CA-NS,Nova Scotia,Common,,
CA,Canada,CA-ON,Ontario,Common,,
CA,Canada,CA-PE,Prince Edward Island,Common,,
CA,Canada,CA-QC,Quebec,Hybrid,Civil,Common
CA,Canada,CA-SK,Saskatchewan,Common,,
CA,Canada,CA-NT,Northwest Territories,Common,,
CA,Canada,CA-NU,Nunavut,Common,,
CA,Canada,CA-YT,Yukon,Common,,
GB,United Kingdom,GB-EAW,England and Wales,Common,,
GB,United Kingdom,GB-SCT,Scotland,Scots,Common,
GB,United Kingdom,GB-NIR,Northern Ireland,Common,,
US,United States,US-AK,Alaska,Common,,
US,United States,US-AL,Alabama,Common,,
US,United States,US-AR,Arkansas,Common,,
US,United States,US-AZ,Arizona,Common,,
US,United States,US-CA,California,Common,,
US,United States,US-CO,Colorado,Common,,
US,United States,US-CT,Connecticut,Common,,
US,United States,US-DE,Delaware,Common,,
US,United States,US-FL,Florida,Common,,
US,United States,US-GA,Georgia,Common,,
US,United States,US-HI,Hawaii,Common,,
US,United States,US-IA,Iowa,Common,,
US,United States,US-ID,Idaho,Common,,
US,United States,US-IL,Illinois,Common,,
US,United States,US-IN,Indiana,Common,,
US,United States,US-KS,Kansas,Common,,
US,United States,US-KY,Kentucky,Common,,
US,United States,US-LA,Louisiana,Hybrid,Civil,Common
US,United States,US-MA,Massachusetts,Common,,
US,United States,US-MD,Maryland,Common,,
US,United States,US-ME,Maine,Common,,
US,United States,US-MI,Michigan,Common,,
US,United States,US-MN,Minnesota,Common,,
US,United States,US-MO,Missouri,Common,,
US,United States,US-MS,Mississippi,Common,,
US,United States,US-MT,Montana,Common,,
US,United States,US-NC,North Carolina,Common,,
US,United States,US-ND,North Dakota,Common,,
US,United States,US-NE,Nebraska,Common,,
US,United States,US-NH,New Hampshire,Common,,
US,United States,US-NJ,New Jersey,Common,,
US,United States,US-NM,New Mexico,Common,,
US,United States,US-NV,Nevada,Common,,
US,United States,US-NY,New York,Common,,
US,United States,US-OH,Ohio,Common,,
US,United States,US-OK,Oklahoma,Common,,
US,United States,US-OR,Oregon,Common,,
US,United States,US-PA,Pennsylvania,Common,,
US,United States,US-RI,Rhode Island,Common,,
US,United States,US-SC,South Carolina,Common,,
US,United States,US-SD,South Dakota,Common,,
US,United States,US-TN,Tennessee,Common,,
US,United States,US-TX,Texas,Common,,
US,United States,US-UT,Utah,Common,,
US,United States,US-VA,Virginia,Common,,
US,United States,US-VT,Vermont,Common,,
US,United States,US-WA,Washington,Common,,
US,United States,US-WI,Wisconsin,Common,,
US,United States,US-WV,West Virginia,Common,,
US,United States,US-WY,Wyoming,Common,,
