"TIER 1 ALIAS (max 128 chrs)","TIER 2 ALIAS (max 128 chrs)","TIER 3 ALIAS (max 128 chrs)","TIER 4 ALIAS (max 128 chrs)","DESCRIPTION (OPTIONAL) (max 256 chrs)","IS DISABLED? (enter Yes if disabled)"
"law-bsn","","","","Business and economic law",""
"law-bsn","law-bsn-1","","","Business organisation law",""
"law-bsn","law-bsn-2","","","Commercial law",""
"law-bsn","law-bsn-3","","","Competition law",""
"law-bsn","law-bsn-4","","","Consumer law",""
"law-bsn","law-bsn-5","","","Unfair trading law",""
"law-bsn","law-bsn-6","","","State aid law",""
"law-bsn","law-bsn-7","","","Utility and monopoly regulation",""
"law-bsn","law-bsn-8","","","Cross-border trade law",""
"law-civ","","","","Civil obligations law",""
"law-civ","law-civ-1","","","Contract law",""
"law-civ","law-civ-2","","","Tort and delict",""
"law-civ","law-civ-3","","","Restitution and unjust enrichment",""
"law-cri","","","","Criminal law",""
"law-cri","law-cri-1","","","Crime against the person",""
"law-cri","law-cri-2","","","Property and financial crime",""
"law-cri","law-cri-3","","","Contraband crime",""
"law-cri","law-cri-4","","","Equipment misuse crime",""
"law-cbo","","","","Cross-border law",""
"law-cbo","law-cbo-1","","","Public international law",""
"law-cbo","law-cbo-2","","","Private international law",""
"law-emp","","","","Employment law",""
"law-emp","law-emp-1","","","Employment rights and obligations",""
"law-emp","law-emp-2","","","Employee incentive law",""
"law-emp","law-emp-3","","","Private pension law",""
"law-emp","law-emp-4","","","Trade union law",""
"law-fam","","","","Family law",""
"law-fam","law-fam-1","","","Relationships",""
"law-fam","law-fam-2","","","Separation",""
"law-fam","law-fam-3","","","Children",""
"law-fam","law-fam-4","","","Domestic abuse",""
"law-fpr","","","","Finance and property law",""
"law-fpr","law-fpr-1","","","Finance law",""
"law-fpr","law-fpr-2","","","Real estate law",""
"law-fpr","law-fpr-3","","","Land use regulation",""
"law-fpr","law-fpr-4","","","Personal property law",""
"law-inf","","","","Information and security law",""
"law-inf","law-inf-1","","","Freedom of expression",""
"law-inf","law-inf-2","","","Freedom of information",""
"law-inf","law-inf-3","","","Data and digital regulation",""
"law-inf","law-inf-4","","","National security",""
"law-isv","","","","Insolvency law",""
"law-isv","law-isv-1","","","Individual insolvency law",""
"law-isv","law-isv-2","","","Corporate insolvency law",""
"law-isv","law-isv-3","","","Public sector insolvency law",""
"law-ipr","","","","Intellectual property law",""
"law-ipr","law-ipr-1","","","Copyright",""
"law-ipr","law-ipr-2","","","Patent",""
"law-ipr","law-ipr-3","","","Design right",""
"law-ipr","law-ipr-4","","","Confidentiality",""
"law-ipr","law-ipr-5","","","Trade mark",""
"law-ipr","law-ipr-6","","","Plant breeders' right",""
"law-ipr","law-ipr-7","","","Database right",""
"law-pcl","","","","Private client law",""
"law-pcl","law-pcl-1","","","Wills and estate planning law",""
"law-pcl","law-pcl-2","","","Administration of estates law",""
"law-pcl","law-pcl-3","","","Capacity law",""
"law-pcl","law-pcl-4","","","Care law",""
"law-pcl","law-pcl-5","","","Trust law",""
"law-pcl","law-pcl-6","","","Individual insolvency law",""
"law-pub","","","","Public law",""
"law-pub","law-pub-1","","","Administrative and constitutional law",""
"law-pub","law-pub-2","","","Human rights law",""
"law-reg","","","","Regulation",""
"law-reg","law-reg-1","","","Sectoral regulation",""
"law-reg","law-reg-2","","","Professional regulation",""
"law-reg","law-reg-3","","","Financial services regulation",""
"law-reg","law-reg-4","","","Illegal financial activity regulation",""
"law-reg","law-reg-5","","","Environmental and climate regulation",""
"law-reg","law-reg-6","","","Charity regulation",""
"law-reg","law-reg-7","","","Corporate governance regulation",""
"law-reg","law-reg-8","","","Weaponry regulation",""
"law-reg","law-reg-9","","","Health, safety and injury",""
"law-tax","","","","Tax law",""
"law-spe","","","","Special topics",""
