Code,Name,Parent,Definition,Notes,Synonyms,Examples
ls-per-3,Organisation,ls-per,,,,
ls-per-3.1,Corporate body,ls-per-3,"A private, commercial, charitable or not-for-profit entity other than a human which has legal personality and is not part of the state or other public body.",,,Most companies
ls-per-3.1-GB,UK corporate body,ls-per-3.1,,"Corporate body incorporated under UK law or under the law of one of the UK's jurisdictions (England & Wales, Scotland and Northern Ireland)",,
ls-per-3.1-GB-1,Limited company,ls-per-3.1-GB,,"A company in which the liability of the members to third parties is limited by its constitution. The principal legislation is the Companies Act 2006, which extends to the whole UK.","Limited, Ltd",
ls-per-3.1-GB-1.1,Company limited by shares,ls-per-3.1-GB-1,,"A company in which the liability of the members to third parties is limited to the amount, if any, unpaid on their shares. See section 3(2) of the Companies Act 2006.","Limited, Ltd",
ls-per-3.1-GB-1.2,Company limited by guarantee,ls-per-3.1-GB-1,,"A company in which the liability of the members to third parties is limited to the amount, if any, which they undertake to pay upon it being wound up. Commonly a nominal sum, such as £1. See section 3(3) of the Companies Act 2006. A company cannot be limited by guarantee and have a share capital: section 5 of the Companies Act 2006.","Limited, Ltd",
ls-per-3.1-GB-1.3,Public limited company,ls-per-3.1-GB-1,,A company identified as such in its certificate of incorporation and meeting certain requirements. See section 4 and Part 20 of the Companies Act 2006. Companies which are not public limited companies are known as 'private companies.' Private companies are prohibited from making public share offers.,"Plc, plc, PLC",
ls-per-3.1-GB-1.4,Community interest company,ls-per-3.1-GB-1,,"See section 6 of the Companies Act 2006 and Part 2 of the Companies (Audit, Investigations and Community Enterprise) Act 2004. A CIC may be limited by either shares or guarantee",CIC,
ls-per-3.1-GB-2,Unlimited company,ls-per-3.1-GB,,"A company in which the liability of the members to third parties is unlimited, and which does not have to file accounts with Companies House. The principal legislation is the Companies Act 2006, which extends to the whole UK. See sections 3, 102-111, 448 and 556.","ULC, Unltd",
ls-per-3.1-GB-3,Limited liability partnership,ls-per-3.1-GB,,"The principal legislation is the Limited Liability Partnerships Act 2000, which extends to the whole UK.",LLP,
ls-per-3.1-GB-4,Registered society,ls-per-3.1-GB,,Formerly known as industrial and provident societies (IPSs). Renamed by the Co-operative and Community Benefit Societies Act 2004. ,,
ls-per-3.1-GB-4.1,Co-operative society,ls-per-3.1-GB-4,,Type of registered society,,
ls-per-3.1-GB-4.2,Community benefit society,ls-per-3.1-GB-4,,Type of registered society,,
ls-per-3.1-GB-5,Charitable incorporated organisation,ls-per-3.1-GB,,"Umbrella noslegal term for the similar types of organisation which exist under the laws of England and Wales, and (with some differences) Scotland. A CIO for Northern Ireland is authorised by Part 11 of the Charities (Northern Ireland) Act 2008 but this has not been brought into force.",CIO,
ls-per-3.1-GB-5-EAW,Charitable incorporated organisation (England & Wales),ls-per-3.1-GB-5,,"The principal legislation is Part 11 of the UK Charities Act 2011, which extends only to England and Wales. ",CIO,
ls-per-3.1-GB-5-SCT,Scottish charitable incorporated organisation,ls-per-3.1-GB-5,,The principal legislation is chapter 7 of the Scottish Charities and Trustee Investment (Scotland) Act 2005.,SCIO,
ls-per-3.1-GB-6,Chartered company,ls-per-3.1-GB,,"A company created by royal charter. This practice long predates modern companies legislation and is still used for many professional bodies, universities and some other bodies (e.g. the BBC, some charities)",RC,
ls-per-3.1-GB-SCT,Scottish partnership,ls-per-3.1-GB,,"If governed by the law of Scotland, these have legal personality distinct from the partners, unlike the position in other parts of the UK. See the UK Partnership Act 1890, section 4(2).",,
ls-per-3.1-GB-SCT-1,Scottish general partnership,ls-per-3.1-GB-SCT,,"If governed by the law of Scotland, general partnerships have legal personality distinct from the partners, unlike the position in other parts of the UK. See the UK Partnership Act 1890, section 4(2).",Firm,
ls-per-3.1-GB-SCT-2,Scottish limited partnership ,ls-per-3.1-GB-SCT,,"As with general partnerships, Scottish limited partnerships differ from limited partnerships elsewhere in the UK by having legal personality distinct from the partners. The principal legislation is the UK Limited Partnerships Act 1907, building on the Partnership Act 1890.",SLP,
ls-per-3.2,Unincorporated body,ls-per-3,"A group of humans with some shared interest, not formalised into a corporate body. This may include traditional communities or charitable / not-for-profit groups. It may also include commercial groups, whether or not with specific legal incidents (e.g. joint liability of partners in an unincorporated partnership).",Families or corporate bodies are excluded from this concept.,,"Some general partnerships and clubs, though this depends on applicable law"
ls-per-3.2-GB,UK unincorporated body,ls-per-3.2,,"Unincorporated body governed by UK law or the law of one of the UK's jurisdictions (England & Wales, Scotland and Northern Ireland)",,
ls-per-3.2-GB-1,Unincorporated association,ls-per-3.2-GB,,"A group of people operating as a not-for-profit society or association which does not meet the definition of partnership under section 1 of the Partnership Act 1890 (""the relation which subsists between persons carrying on a business in common with a view of profit."")",,
ls-per-3.2-GB-2,General partnership,ls-per-3.2-GB,,The principal legislation is the UK Partnership Act 1890. An ordinary or 'general' partnership is not a corporate body if governed by the laws of England & Wales or Northern Ireland. But note that a Scottish general partnership is a corporate body.,Firm,
ls-per-3.2-GB-3,Limited partnership ,ls-per-3.2-GB,,"The principal legislation is the UK Limited Partnerships Act 1907, which builds on the Partnership Act 1890. Limited partnerships have general and limited partners, with the latter playing no active role in the business. Not to be confused with the entirely distinct concept of limited liability partnerships (LLPs). LPs are not corporate bodies if governed by the laws of England & Wales or Northern Ireland. But note that a Scottish limited partnership (SLP) is a corporate body.",LP,
