Code,Name,Parent,Definition,Notes,Synonyms,Examples
lw,Legal Work,,"Concepts to describe working on legal topics, or things relevant to such work",,,
lw-res,Resolving,lw,"Resolving contested or uncertain issues, including enforcing and changing the law.",The distinction between Resolving and Transacting is intended to match the distinctions drawn already in practice by many lawyers between different types of work.,Contentious,
lw-res-1,Disputes,lw-res,"Resolving disputes or pursuing or defending claims, whether by a binding process or by a process (formal or otherwise) aimed at reaching agreement. ","""Dispute"" should be interpreted in a common sense way, but involves at a minimum the articulation of a claim by someone against someone else, which the latter has not accepted.

This includes claims for civil sums and other remedies which seek to (1) compensate the claiming party for a wrong done to them by the other party, (2) enforce the claiming party's bargain with, or other rights against, the other party (3) recover restitution for the claimant against the defendant (for example, for unjust enrichment or negotorium gestio).",Dispute resolution,
lw-res-1-1,Negotiated dispute resolution,lw-res-1,A process for resolving a dispute by agreement between the parties. This may or may not involve the assistance of a third party.,"If the decision-maker has power to impose a decision on the parties if negotiations fail, then this category should not be used.",Settlement,"Amicable resolution, amicable composition, compromise, conciliation,  intercession, mediating, mediation, negotiation, reconciliation, settlement"
lw-res-1-2,Litigation,lw-res-1,Civil and commercial court cases. ,"It does not include criminal cases or public law cases. 

But it includes litigation about other forms of dispute resolution (e.g. to support, enforce or challenge an arbitration or expert determination or its outcome). ","Court case, lawsuit, court proceedings","Appeals, appellate litigation, being sued, civil action, civil complaint, civil proceedings, civil suit, claiming, claim, class action, damages action, defending, employment tribunal, employment appeals tribunal, injunction, interdict, group action, judicial proceedings, judicial review, lawsuit, restraining order, suing, writ"
lw-res-1-3,Arbitration,lw-res-1,A process of binding dispute resolution based on the agreement of the parties (whether before or after the dispute arose) and regarded as arbitration by the applicable legal regime.,The arbitrator or arbitration tribunal must have the power to impose a legally binding decision on the parties for the process to count as arbitration.,"Arbitrating, arbitral proceedings","Ad hoc arbitration, investment arbitration, institutional arbitration, international arbitration, mandatory arbitration, baseball arbitration, pendulum arbitration, final offer arbitration, med-arb."
lw-res-1-4,Other binding dispute resolution,lw-res-1,A process other than litigation or arbitration in which a decision-maker has the legal power to impose a decision on the parties without their agreement,"The power will typically have been conferred by agreement of the parties (e.g. in a contract) but gives the decision-maker authority to resolve the matter in a way that is binding upon them, potentially subject to an appeal or review. Processes with 'interim binding' effect (e.g. adjudication under English law) are included in this category.",,"Adjudicating, adjudication, alternative dispute resolution, binding ADR, disputes board, expert determination."
lw-res-2,Enforcement,lw-res,Action to enforce the law falling short of criminal prosecution. ,"This includes civil claims which are penal in nature e.g. exemplary damages, damages in significant minimum amounts, treble damages. It also includes claims brought to recover in respect of loss suffered by someone else (e.g. disgorgement). Related proceedings (e.g. unexplained wealth orders) are also included.",,"Civil enforcement proceedings, disgorgement action, disgorgement proceedings, False Claims Act, parens patriae action, qui tam action, relator action, unexplained wealth order, UWO"
lw-res-3,Prosecution,lw-res,"Criminal or disciplinary action alleging wrongdoing by a person, in which a finding of guilt may be made.","This includes all criminal proceedings, even if commenced by a private prosecutor. It also includes professional disciplinary proceedings even if the professional body is not a state entity.",,"Arraignment, criminal case, charges, criminal charges, criminal complaint, disciplinary action, disciplinary proceedings, felony, grand jury, indictment, laying an information, magistrate, misdemeanour, misdemeanor, presentment, private prosecution, sheriff court, solemn proceedings, true bill"
lw-res-4,Investigation,lw-res,"Steps taken to understand more about an area of concern, mainly for the purpose of considering possible prosecution, enforcement action or litigation, depending on the findings.",,,
lw-res-5,Inquiries,lw-res,"Steps taken to understand more about an area of concern, mainly for the purpose of learning lessons.",,,
lw-res-6,Administrative issues,lw-res,"Governmental, administrative and other decisions of a public or official nature and challenges to these, including via administrative appeals or reconsideration processes, or in court. ","This does not include matters which are in substance disputes (lw-r-1),  enforcement and prosecution (lw-r-2) or investigations and inquiries (lw-r-3).",,
lw-res-6-1,Administrative process,lw-res-6,"Decisions and processes within an administrative system, as opposed to a court.",Court proceedings are within lw-r-4-2 not lw-r-4-1.,,
lw-res-6-2,Administrative litigation,lw-res-6,"Court proceedings challenging, or otherwise relating to, an administrative decision.",,,
lw-res-7,Public affairs,lw-res,"Influencing the development of law, regulation, public policy and non-legal standards (e.g. soft law, voluntary codes of practice, ethical guidelines).",,,"Advocacy (policy), campaigns, community relations, corporate affairs, external affairs, external relations, government affairs, international affairs, legislation, legislative affairs, lobbying, Parliamentary affairs, policy, political advice, political research, regulatory affairs, soft law, stakeholder management, stakeholder relations, strategic communications"
lw-tra,Transacting,lw,"Taking steps which involve changing status or ownership, financing, contracting and working through the legal consequences of other changes.","At the margins, Resolving is more specifically defined than Transacting. Judgement is sometimes needed as to when something has changed from being a robust negotiation into a dispute, but in practice this is usually clear. Some matters may have elements of both.","Transactions, non-contentious",
lw-tra-1,Establishing,lw-tra,"Establishing a new organisation, legal entity, contractual or non-contractual legal relationship (e.g. a trust or foundation). Granting rights in relation to property (e.g. leasing or licensing). ",,,"Establishing a company or other entity or organisation, incorporating, preparing constitutional documents (e.g. articles of association, trust deeds, pension scheme documents), related agreements or materials (e.g. initial subscription agreements), starting up a business, preparing a pre-nuptial agreement."
